Code,Disease_Name,Symptoms,Search_Quality,Core_Terms
,- Module II,Skipped - Not a specific disease,Skipped,
,- - Traditional medicine disorders (TM2),Skipped - Not a specific disease,Skipped,
,"- - - Head, brain, nerve and movement disorders (TM2)",Skipped - Not a specific disease,Skipped,
,- - - - Headache disorders (TM2),Skipped - Not a specific disease,Skipped,
SK00,- - - - Headache disorders (TM2),Skipped - Not a specific disease,Skipped,
SK01,Migraine disorder,"Migraine is a complex neurological disorder characterized by episodes of moderate-to-severe headache, most often unilateral and generally associated with nausea, and light and sound sensitivity. Other characterizing symptoms may include vomiting, cognitive dysfunction, allodynia, and dizziness. Exacerbation or worsening of headache symptoms during physical activity is another distinguishing feature. (Source: Migraine)",Wikipedia match,migraine
SK0Y,headache disorders,"A headache, also known as cephalalgia, is the symptom of pain in the face, head, or neck. (Source: Headache)",Wikipedia match,headache
SK0Z,"Headache disorders (TM2),","A headache, also known as cephalalgia, is the symptom of pain in the face, head, or neck. (Source: Headache)",Wikipedia match,"headache, (tm2),"
,Nervous system disorders,"Nervous system diseases, also known as nervous system or neurological disorders, refers to a small class of medical conditions affecting the nervous system. This category encompasses over 600 different conditions, including genetic disorders, infections, cancer, seizure disorders, conditions with a cardiovascular origin, congenital and developmental disorders, and degenerative disorders. (Source: Nervous system disease)",Wikipedia match,nervous system
SK10,Vertigo and giddiness disorder,"It can also refer to disequilibrium or a non-specific feeling, such as giddiness or foolishness. (Source: Dizziness)",Wikipedia match,"vertigo, giddiness"
SK1Y,nervous system disorders,"Nervous system diseases, also known as nervous system or neurological disorders, refers to a small class of medical conditions affecting the nervous system. This category encompasses over 600 different conditions, including genetic disorders, infections, cancer, seizure disorders, conditions with a cardiovascular origin, congenital and developmental disorders, and degenerative disorders. (Source: Nervous system disease)",Wikipedia match,nervous system
SK1Z,"Nervous system disorders (TM2),","In biology, the nervous system is the highly complex part of an animal that coordinates its actions and sensory information by transmitting signals to and from different parts of its body. Nerves that transmit signals from the brain are called motor nerves (efferent), while those nerves that transmit information from the body to the CNS are called sensory nerves (afferent). (Source: Nervous system)",Wikipedia match,"nervous system, (tm2),"
,- - - - Paralysis disorders (TM2),Skipped - Not a specific disease,Skipped,
SK20,Facial palsy disorder,"The pathway of the facial nerve is long and relatively convoluted, so there are a number of causes that may result in facial nerve paralysis. The most common is Bell's palsy, a disease of unknown cause that may only be diagnosed by exclusion of identifiable serious causes. (Source: Facial nerve paralysis)",Wikipedia match,"facial, palsy"
SK21,Paraplegia disorder,"Paraplegia, or paraparesis, is an impairment in motor or sensory function of the lower extremities. The word comes from Ionic Greek (παραπληγίη)
""half-stricken"". (Source: Paraplegia)",Wikipedia match,paraplegia
SK22,Hemiplegia disorder,"Either hemiparesis or hemiplegia can result from a variety of medical causes, including congenital conditions, trauma, tumors, traumatic brain injury and stroke. (Source: Hemiparesis)",Wikipedia match,hemiplegia
SK2Y,paralysis disorders,Paralysis can also be accompanied by a loss of feeling in the affected area if there is sensory damage. (Source: Paralysis),Wikipedia match,paralysis
SK2Z,"Paralysis disorders (TM2),",Paralysis can also be accompanied by a loss of feeling in the affected area if there is sensory damage. (Source: Paralysis),Wikipedia match,"paralysis, (tm2),"
,- - - - Paroxysmal disorders (TM2),Skipped - Not a specific disease,Skipped,
SK30,Seizure disorder,"Epilepsy is a group of non-communicable neurological disorders characterized by a tendency for recurrent, unprovoked seizures. A seizure is a sudden burst of abnormal electrical activity in the brain that can cause a variety of symptoms, ranging from brief lapses of awareness or muscle jerks to prolonged convulsions. These episodes can result in physical injuries, either directly, such as broken bones, or through causing accidents. (Source: Epilepsy)",Wikipedia match,seizure
SK31,Epilepsy disorder,"Epilepsy is a group of non-communicable neurological disorders characterized by a tendency for recurrent, unprovoked seizures. A seizure is a sudden burst of abnormal electrical activity in the brain that can cause a variety of symptoms, ranging from brief lapses of awareness or muscle jerks to prolonged convulsions. These episodes can result in physical injuries, either directly, such as broken bones, or through causing accidents. (Source: Epilepsy)",Wikipedia match,epilepsy
SK3Y,paroxysmal disorders,"Paroxysmal attacks or paroxysms are a sudden recurrence or intensification of symptoms, such as a spasm or seizure. These short, frequent symptoms can be observed in various clinical conditions. They are usually associated with multiple sclerosis or pertussis, but they may also be observed in other disorders such as encephalitis, head trauma, stroke, autism, asthma, trigeminal neuralgia, breath-holding spells, epilepsy, malaria, tabes dorsalis, Behçet's disease, and paroxysmal nocturnal hemoglobinuria (PNH). (Source: Paroxysmal attack)",Wikipedia match,paroxysmal
